Player,Team,Position,Value,Teams,Scoring
Jalen Hurts,PHI,QB,27,12,Standard
Breece Hall,NYJ,RB,27,12,Standard
James Conner,ARI,RB,27,12,Standard
Drake London,ATL,WR,27,12,Standard
Tyreek Hill,MIA,WR,27,12,Standard
Jayden Daniels,WAS,QB,26,12,Standard
Kenneth Walker III,SEA,RB,26,12,Standard
Tee Higgins,CIN,WR,26,12,Standard
Terry McLaurin,WAS,WR,26,12,Standard
Davante Adams,LAR,WR,25,12,Standard
Omarion Hampton,LAC,RB,24,12,Standard
Trey McBride,ARI,TE,24,12,Standard
Alvin Kamara,NO,RB,23,12,Standard
Chuba Hubbard,CAR,RB,23,12,Standard
Marvin Harrison Jr.,ARI,WR,23,12,Standard
Joe Burrow,CIN,QB,22,12,Standard
DK Metcalf,PIT,WR,22,12,Standard
Joe Mixon,HOU,RB,21,12,Standard
Aaron Jones Sr.,MIN,RB,21,12,Standard
D'Andre Swift,CHI,RB,20,12,Standard
David Montgomery,DET,RB,20,12,Standard
Jaxon Smith-Njigba,SEA,WR,20,12,Standard
Zay Flowers,BAL,WR,19,12,Standard
Xavier Worthy,KC,WR,18,12,Standard
Courtland Sutton,DEN,WR,18,12,Standard
Jameson Williams,DET,WR,17,12,Standard
Garrett Wilson,NYJ,WR,17,12,Standard
DJ Moore,CHI,WR,17,12,Standard
Calvin Ridley,TEN,WR,17,12,Standard
Mark Andrews,BAL,TE,17,12,Standard
Sam LaPorta,DET,TE,17,12,Standard
Patrick Mahomes II,KC,QB,16,12,Standard
Tony Pollard,TEN,RB,16,12,Standard
Baker Mayfield,TB,QB,15,12,Standard
TreVeyon Henderson,NE,RB,15,12,Standard
Kaleb Johnson,PIT,RB,15,12,Standard
Brian Robinson Jr.,WAS,RB,15,12,Standard
DeVonta Smith,PHI,WR,15,12,Standard
Isiah Pacheco,KC,RB,14,12,Standard
George Pickens,DAL,WR,14,12,Standard
Kyler Murray,ARI,QB,13,12,Standard
Tyrone Tracy Jr.,NYG,RB,13,12,Standard
Travis Kelce,KC,TE,13,12,Standard
Jerry Jeudy,CLE,WR,12,12,Standard
Deebo Samuel Sr.,WAS,WR,12,12,Standard
T.J. Hockenson,MIN,TE,12,12,Standard
Brock Purdy,SF,QB,11,12,Standard
RJ Harvey,DEN,RB,11,12,Standard
Jauan Jennings,SF,WR,11,12,Standard
Bo Nix,DEN,QB,10,12,Standard
Jakobi Meyers,LV,WR,10,12,Standard
Jaylen Waddle,MIA,WR,10,12,Standard
Jayden Reed,GB,WR,10,12,Standard
David Njoku,CLE,TE,10,12,Standard
Quinshon Judkins,CLE,RB,9,12,Standard
Javonte Williams,DAL,RB,9,12,Standard
Tetairoa McMillan,CAR,WR,9,12,Standard
J.K. Dobbins,DEN,RB,8,12,Standard
Jaylen Warren,PIT,RB,8,12,Standard
Chris Godwin,TB,WR,8,12,Standard
Travis Hunter,JAC,WR,8,12,Standard
Rome Odunze,CHI,WR,8,12,Standard
Jordan Addison,MIN,WR,8,12,Standard
Rashee Rice,KC,WR,8,12,Standard
Justin Fields,NYJ,QB,7,12,Standard
Najee Harris,LAC,RB,7,12,Standard
Travis Etienne Jr.,JAC,RB,7,12,Standard
Rhamondre Stevenson,NE,RB,7,12,Standard
Matthew Golden,GB,WR,7,12,Standard
Austin Ekeler,WAS,RB,6,12,Standard
Jordan Mason,MIN,RB,6,12,Standard
Cam Skattebo,NYG,RB,6,12,Standard
Tank Bigsby,JAC,RB,6,12,Standard
Keon Coleman,BUF,WR,6,12,Standard
Chris Olave,NO,WR,6,12,Standard
Stefon Diggs,NE,WR,6,12,Standard
Ricky Pearsall,SF,WR,6,12,Standard
Rashid Shaheed,NO,WR,6,12,Standard
Tucker Kraft,GB,TE,6,12,Standard
Jared Goff,DET,QB,5,12,Standard
Zach Charbonnet,SEA,RB,5,12,Standard
Rachaad White,TB,RB,5,12,Standard
Tyjae Spears,TEN,RB,5,12,Standard
Darnell Mooney,ATL,WR,5,12,Standard
Cooper Kupp,SEA,WR,5,12,Standard
Tyler Warren,IND,TE,5,12,Standard
Dak Prescott,DAL,QB,4,12,Standard
J.J. McCarthy,MIN,QB,4,12,Standard
Justin Herbert,LAC,QB,4,12,Standard
Dylan Sampson,CLE,RB,4,12,Standard
Jerome Ford,CLE,RB,4,12,Standard
Marvin Mims Jr.,DEN,WR,4,12,Standard
Khalil Shakir,BUF,WR,4,12,Standard
Dallas Goedert,PHI,TE,4,12,Standard
Caleb Williams,CHI,QB,3,12,Standard
Nick Chubb,HOU,RB,3,12,Standard
Trey Benson,ARI,RB,3,12,Standard
Tyler Allgeier,ATL,RB,3,12,Standard
Isaac Guerendo,SF,RB,3,12,Standard
Bhayshul Tuten,JAC,RB,3,12,Standard
Rico Dowdle,CAR,RB,3,12,Standard
Michael Pittman Jr.,IND,WR,3,12,Standard
Colston Loveland,CHI,TE,3,12,Standard
Jake Ferguson,DAL,TE,3,12,Standard
Jordan Love,GB,QB,2,12,Standard
C.J. Stroud,HOU,QB,2,12,Standard
Roschon Johnson,CHI,RB,2,12,Standard
Ray Davis,BUF,RB,2,12,Standard
Jaydon Blue,DAL,RB,2,12,Standard
Jaylen Wright,MIA,RB,2,12,Standard
MarShawn Lloyd,GB,RB,2,12,Standard
Braelon Allen,NYJ,RB,2,12,Standard
Rashod Bateman,BAL,WR,2,12,Standard
Zach Ertz,WAS,TE,2,12,Standard
Evan Engram,DEN,TE,2,12,Standard
Kyle Pitts Sr.,ATL,TE,2,12,Standard
Dalton Kincaid,BUF,TE,2,12,Standard
Buffalo Bills,BUF,DST,2,12,Standard
Denver Broncos,DEN,DST,2,12,Standard
Philadelphia Eagles,PHI,DST,2,12,Standard
Houston Texans,HOU,DST,2,12,Standard
Baltimore Ravens,BAL,DST,2,12,Standard
Trevor Lawrence,JAC,QB,1,12,Standard
Kareem Hunt,KC,RB,1,12,Standard
Robbie Ouzts,SEA,RB,1,12,Standard
Quentin Johnston,LAC,WR,1,12,Standard
Brandon Aiyuk,SF,WR,1,12,Standard
Marquise Brown,KC,WR,1,12,Standard
Josh Downs,IND,WR,1,12,Standard
Tre' Harris,LAC,WR,1,12,Standard
Cade Otton,TB,TE,1,12,Standard
Hunter Henry,NE,TE,1,12,Standard
Ja'Marr Chase,CIN,WR,63,8,Half-PPR
Saquon Barkley,PHI,RB,48,8,Half-PPR
Jahmyr Gibbs,DET,RB,46,8,Half-PPR
Bijan Robinson,ATL,RB,46,8,Half-PPR
Justin Jefferson,MIN,WR,45,8,Half-PPR
CeeDee Lamb,DAL,WR,39,8,Half-PPR
Puka Nacua,LAR,WR,39,8,Half-PPR
Christian McCaffrey,SF,RB,37,8,Half-PPR
Derrick Henry,BAL,RB,37,8,Half-PPR
Amon-Ra St. Brown,DET,WR,36,8,Half-PPR
De'Von Achane,MIA,RB,34,8,Half-PPR
Brock Bowers,LV,TE,34,8,Half-PPR
Malik Nabers,NYG,WR,33,8,Half-PPR
Josh Allen,BUF,QB,32,8,Half-PPR
