player,team,pos,scoring,points
Josh Allen,BUF,QB,Standard,380.93
Josh Allen,BUF,QB,Half-PPR,380.93
Josh Allen,BUF,QB,PPR,380.93
Lamar Jackson,BAL,QB,Standard,377.02
Lamar Jackson,BAL,QB,Half-PPR,377.02
Lamar Jackson,BAL,QB,PPR,377.02
Jayden Daniels,WAS,QB,Standard,363.59
Jayden Daniels,WAS,QB,Half-PPR,363.59
Jayden Daniels,WAS,QB,PPR,363.59
Jalen Hurts,PHI,QB,Standard,359.62
Jalen Hurts,PHI,QB,Half-PPR,359.62
Jalen Hurts,PHI,QB,PPR,359.62
Joe Burrow,CIN,QB,Standard,348.46
Joe Burrow,CIN,QB,Half-PPR,348.46
Joe Burrow,CIN,QB,PPR,348.46
Patrick Mahomes II,KC,QB,Standard,326.35
Patrick Mahomes II,KC,QB,Half-PPR,326.35
Patrick Mahomes II,KC,QB,PPR,326.35
Baker Mayfield,TB,QB,Standard,322
Baker Mayfield,TB,QB,Half-PPR,322
Baker Mayfield,TB,QB,PPR,322
Kyler Murray,ARI,QB,Standard,319.45
Kyler Murray,ARI,QB,Half-PPR,319.45
Kyler Murray,ARI,QB,PPR,319.45
Brock Purdy,SF,QB,Standard,309.68
Brock Purdy,SF,QB,Half-PPR,309.68
Brock Purdy,SF,QB,PPR,309.68
Bo Nix,DEN,QB,Standard,308.79
Bo Nix,DEN,QB,Half-PPR,308.79
Bo Nix,DEN,QB,PPR,308.79
Saquon Barkley,PHI,RB,Standard,279.1
Saquon Barkley,PHI,RB,Half-PPR,298.08
Saquon Barkley,PHI,RB,PPR,317.05
Jared Goff,DET,QB,Standard,296.59
Jared Goff,DET,QB,Half-PPR,296.59
Jared Goff,DET,QB,PPR,296.59
Bijan Robinson,ATL,RB,Standard,266.09
Bijan Robinson,ATL,RB,Half-PPR,295.31
Bijan Robinson,ATL,RB,PPR,324.52
Ja'Marr Chase,CIN,WR,Standard,232.95
Ja'Marr Chase,CIN,WR,Half-PPR,292.14
Ja'Marr Chase,CIN,WR,PPR,351.33
Dak Prescott,DAL,QB,Standard,291.58
Dak Prescott,DAL,QB,Half-PPR,291.58
Dak Prescott,DAL,QB,PPR,291.58
Caleb Williams,CHI,QB,Standard,290.48
Caleb Williams,CHI,QB,Half-PPR,290.48
Caleb Williams,CHI,QB,PPR,290.48
Justin Herbert,LAC,QB,Standard,289.46
Justin Herbert,LAC,QB,Half-PPR,289.46
Justin Herbert,LAC,QB,PPR,289.46
Jahmyr Gibbs,DET,RB,Standard,259.06
Jahmyr Gibbs,DET,RB,Half-PPR,286.89
Jahmyr Gibbs,DET,RB,PPR,314.72
Justin Fields,NYJ,QB,Standard,285.87
Justin Fields,NYJ,QB,Half-PPR,285.87
Justin Fields,NYJ,QB,PPR,285.87
J.J. McCarthy,MIN,QB,Standard,285.33
J.J. McCarthy,MIN,QB,Half-PPR,285.33
J.J. McCarthy,MIN,QB,PPR,285.33
Trevor Lawrence,JAC,QB,Standard,280.77
Trevor Lawrence,JAC,QB,Half-PPR,280.77
Trevor Lawrence,JAC,QB,PPR,280.77
Jordan Love,GB,QB,Standard,279.63
Jordan Love,GB,QB,Half-PPR,279.63
Jordan Love,GB,QB,PPR,279.63
Drake Maye,NE,QB,Standard,279.38
Drake Maye,NE,QB,Half-PPR,279.38
Drake Maye,NE,QB,PPR,279.38
C.J. Stroud,HOU,QB,Standard,277.92
C.J. Stroud,HOU,QB,Half-PPR,277.92
C.J. Stroud,HOU,QB,PPR,277.92
Derrick Henry,BAL,RB,Standard,261.92
Derrick Henry,BAL,RB,Half-PPR,270.93
Derrick Henry,BAL,RB,PPR,279.94
Matthew Stafford,LAR,QB,Standard,269.76
Matthew Stafford,LAR,QB,Half-PPR,269.76
Matthew Stafford,LAR,QB,PPR,269.76
Michael Penix Jr.,ATL,QB,Standard,265.69
Michael Penix Jr.,ATL,QB,Half-PPR,265.69
Michael Penix Jr.,ATL,QB,PPR,265.69
Geno Smith,LV,QB,Standard,265.02
Geno Smith,LV,QB,Half-PPR,265.02
Geno Smith,LV,QB,PPR,265.02
Tua Tagovailoa,MIA,QB,Standard,262.7
Tua Tagovailoa,MIA,QB,Half-PPR,262.7
Tua Tagovailoa,MIA,QB,PPR,262.7
Bryce Young,CAR,QB,Standard,260.52
Bryce Young,CAR,QB,Half-PPR,260.52
Bryce Young,CAR,QB,PPR,260.52
De'Von Achane,MIA,RB,Standard,220.69
De'Von Achane,MIA,RB,Half-PPR,256.33
De'Von Achane,MIA,RB,PPR,291.96
Justin Jefferson,MIN,WR,Standard,204.79
Justin Jefferson,MIN,WR,Half-PPR,256.22
Justin Jefferson,MIN,WR,PPR,307.66
Christian McCaffrey,SF,RB,Standard,225.67
Christian McCaffrey,SF,RB,Half-PPR,256.09
Christian McCaffrey,SF,RB,PPR,286.51
Sam Darnold,SEA,QB,Standard,256.04
Sam Darnold,SEA,QB,Half-PPR,256.04
Sam Darnold,SEA,QB,PPR,256.04
Josh Jacobs,GB,RB,Standard,233.91
Josh Jacobs,GB,RB,Half-PPR,253.31
Josh Jacobs,GB,RB,PPR,272.71
Aaron Rodgers,PIT,QB,Standard,252.31
Aaron Rodgers,PIT,QB,Half-PPR,252.31
Aaron Rodgers,PIT,QB,PPR,252.31
Cameron Ward,TEN,QB,Standard,250.79
Cameron Ward,TEN,QB,Half-PPR,250.79
Cameron Ward,TEN,QB,PPR,250.79
CeeDee Lamb,DAL,WR,Standard,194.12
CeeDee Lamb,DAL,WR,Half-PPR,250.1
CeeDee Lamb,DAL,WR,PPR,306.08
Puka Nacua,LAR,WR,Standard,193.67
Puka Nacua,LAR,WR,Half-PPR,248.95
Puka Nacua,LAR,WR,PPR,304.23
Malik Nabers,NYG,WR,Standard,188.51
Malik Nabers,NYG,WR,Half-PPR,243.42
Malik Nabers,NYG,WR,PPR,298.34
Ashton Jeanty,LV,RB,Standard,219.42
Ashton Jeanty,LV,RB,Half-PPR,242.83
Ashton Jeanty,LV,RB,PPR,266.23
Bucky Irving,TB,RB,Standard,217.83
Bucky Irving,TB,RB,Half-PPR,241.03
Bucky Irving,TB,RB,PPR,264.23
Jonathan Taylor,IND,RB,Standard,227.37
Jonathan Taylor,IND,RB,Half-PPR,239.54
Jonathan Taylor,IND,RB,PPR,251.7
Amon-Ra St. Brown,DET,WR,Standard,183.49
Amon-Ra St. Brown,DET,WR,Half-PPR,239.11
Amon-Ra St. Brown,DET,WR,PPR,294.72
Nico Collins,HOU,WR,Standard,193.26
Nico Collins,HOU,WR,Half-PPR,239.11
Nico Collins,HOU,WR,PPR,284.97
Kyren Williams,LAR,RB,Standard,221.34
Kyren Williams,LAR,RB,Half-PPR,237.87
Kyren Williams,LAR,RB,PPR,254.4
Brian Thomas Jr.,JAC,WR,Standard,189.37
Brian Thomas Jr.,JAC,WR,Half-PPR,234.3
Brian Thomas Jr.,JAC,WR,PPR,279.23
Chase Brown,CIN,RB,Standard,202.19
Chase Brown,CIN,RB,Half-PPR,230.94
Chase Brown,CIN,RB,PPR,259.69
James Cook,BUF,RB,Standard,206.23
James Cook,BUF,RB,Half-PPR,223.19
James Cook,BUF,RB,PPR,240.16
Ladd McConkey,LAC,WR,Standard,174.81
Ladd McConkey,LAC,WR,Half-PPR,221.35
Ladd McConkey,LAC,WR,PPR,267.9
A.J. Brown,PHI,WR,Standard,176.13
A.J. Brown,PHI,WR,Half-PPR,218.23
A.J. Brown,PHI,WR,PPR,260.33
Anthony Richardson Sr.,IND,QB,Standard,217.42
Anthony Richardson Sr.,IND,QB,Half-PPR,217.42
Anthony Richardson Sr.,IND,QB,PPR,217.42
Breece Hall,NYJ,RB,Standard,189.08
Breece Hall,NYJ,RB,Half-PPR,216.55
Breece Hall,NYJ,RB,PPR,244.02
Alvin Kamara,NO,RB,Standard,181.33
Alvin Kamara,NO,RB,Half-PPR,215.35
Alvin Kamara,NO,RB,PPR,249.37
James Conner,ARI,RB,Standard,191.5
James Conner,ARI,RB,Half-PPR,212.23
James Conner,ARI,RB,PPR,232.96
Drake London,ATL,WR,Standard,165.47
Drake London,ATL,WR,Half-PPR,211.72
Drake London,ATL,WR,PPR,257.98
Tyreek Hill,MIA,WR,Standard,163.69
Tyreek Hill,MIA,WR,Half-PPR,209.19
Tyreek Hill,MIA,WR,PPR,254.69
Chuba Hubbard,CAR,RB,Standard,189.1
Chuba Hubbard,CAR,RB,Half-PPR,208.95
Chuba Hubbard,CAR,RB,PPR,228.8
Kenneth Walker III,SEA,RB,Standard,184.5
Kenneth Walker III,SEA,RB,Half-PPR,207.17
Kenneth Walker III,SEA,RB,PPR,229.84
Mike Evans,TB,WR,Standard,166.99
Mike Evans,TB,WR,Half-PPR,206.08
Mike Evans,TB,WR,PPR,245.17
Tee Higgins,CIN,WR,Standard,161.32
Tee Higgins,CIN,WR,Half-PPR,202.85
Tee Higgins,CIN,WR,PPR,244.39
Jaxon Smith-Njigba,SEA,WR,Standard,155.46
Jaxon Smith-Njigba,SEA,WR,Half-PPR,202.55
Jaxon Smith-Njigba,SEA,WR,PPR,249.64
Davante Adams,LAR,WR,Standard,159.55
Davante Adams,LAR,WR,Half-PPR,201.89
Davante Adams,LAR,WR,PPR,244.22
Brock Bowers,LV,TE,Standard,147.36
Brock Bowers,LV,TE,Half-PPR,199.55
Brock Bowers,LV,TE,PPR,251.74
Terry McLaurin,WAS,WR,Standard,159.13
Terry McLaurin,WAS,WR,Half-PPR,198.56
Terry McLaurin,WAS,WR,PPR,237.99
Trey McBride,ARI,TE,Standard,142.15
Trey McBride,ARI,TE,Half-PPR,194.59
Trey McBride,ARI,TE,PPR,247.03
Omarion Hampton,LAC,RB,Standard,177.25
Omarion Hampton,LAC,RB,Half-PPR,192.85
Omarion Hampton,LAC,RB,PPR,208.44
Russell Wilson,NYG,QB,Standard,192.15
Russell Wilson,NYG,QB,Half-PPR,192.15
Russell Wilson,NYG,QB,PPR,192.15
Marvin Harrison Jr.,ARI,WR,Standard,153.41
Marvin Harrison Jr.,ARI,WR,Half-PPR,191.51
Marvin Harrison Jr.,ARI,WR,PPR,229.61
DJ Moore,CHI,WR,Standard,146.88
DJ Moore,CHI,WR,Half-PPR,191.45
DJ Moore,CHI,WR,PPR,236.01
Garrett Wilson,NYJ,WR,Standard,144.28
Garrett Wilson,NYJ,WR,Half-PPR,191.45
Garrett Wilson,NYJ,WR,PPR,238.61
Aaron Jones Sr.,MIN,RB,Standard,167.73
Aaron Jones Sr.,MIN,RB,Half-PPR,191.13
Aaron Jones Sr.,MIN,RB,PPR,214.53
D'Andre Swift,CHI,RB,Standard,171.43
D'Andre Swift,CHI,RB,Half-PPR,190.58
D'Andre Swift,CHI,RB,PPR,209.73
DK Metcalf,PIT,WR,Standard,152.81
DK Metcalf,PIT,WR,Half-PPR,190.21
DK Metcalf,PIT,WR,PPR,227.6
Xavier Worthy,KC,WR,Standard,153.83
Xavier Worthy,KC,WR,Half-PPR,189.63
Xavier Worthy,KC,WR,PPR,225.44
George Kittle,SF,TE,Standard,149.23
George Kittle,SF,TE,Half-PPR,187.39
George Kittle,SF,TE,PPR,225.55
Joe Mixon,HOU,RB,Standard,169.58
Joe Mixon,HOU,RB,Half-PPR,186.97
Joe Mixon,HOU,RB,PPR,204.37
David Montgomery,DET,RB,Standard,170.64
David Montgomery,DET,RB,Half-PPR,186.19
David Montgomery,DET,RB,PPR,201.74
Courtland Sutton,DEN,WR,Standard,147.15
Courtland Sutton,DEN,WR,Half-PPR,185.48
Courtland Sutton,DEN,WR,PPR,223.8
Zay Flowers,BAL,WR,Standard,146.25
Zay Flowers,BAL,WR,Half-PPR,184.26
Zay Flowers,BAL,WR,PPR,222.27
DeVonta Smith,PHI,WR,Standard,141.55
DeVonta Smith,PHI,WR,Half-PPR,181.36
DeVonta Smith,PHI,WR,PPR,221.18
Tyler Shough,NO,QB,Standard,181.29
Tyler Shough,NO,QB,Half-PPR,181.29
Tyler Shough,NO,QB,PPR,181.29
Calvin Ridley,TEN,WR,Standard,145.73
Calvin Ridley,TEN,WR,Half-PPR,180.83
Calvin Ridley,TEN,WR,PPR,215.94
Jameson Williams,DET,WR,Standard,148.16
Jameson Williams,DET,WR,Half-PPR,178.26
Jameson Williams,DET,WR,PPR,208.36
Tony Pollard,TEN,RB,Standard,158.45
Tony Pollard,TEN,RB,Half-PPR,178.25
Tony Pollard,TEN,RB,PPR,198.04
Rashee Rice,KC,WR,Standard,134.19
Rashee Rice,KC,WR,Half-PPR,173.65
Rashee Rice,KC,WR,PPR,213.12
Jerry Jeudy,CLE,WR,Standard,131.74
Jerry Jeudy,CLE,WR,Half-PPR,171.34
Jerry Jeudy,CLE,WR,PPR,210.94
Jakobi Meyers,LV,WR,Standard,130.35
Jakobi Meyers,LV,WR,Half-PPR,171.33
Jakobi Meyers,LV,WR,PPR,212.31
Jaylen Waddle,MIA,WR,Standard,130.06
Jaylen Waddle,MIA,WR,Half-PPR,168.63
Jaylen Waddle,MIA,WR,PPR,207.21
George Pickens,DAL,WR,Standard,133.37
George Pickens,DAL,WR,Half-PPR,166.23
George Pickens,DAL,WR,PPR,199.09
Jauan Jennings,SF,WR,Standard,129.66
Jauan Jennings,SF,WR,Half-PPR,165.75
Jauan Jennings,SF,WR,PPR,201.83
TreVeyon Henderson,NE,RB,Standard,147.87
TreVeyon Henderson,NE,RB,Half-PPR,165.51
TreVeyon Henderson,NE,RB,PPR,183.15
Jordan Addison,MIN,WR,Standard,132.68
Jordan Addison,MIN,WR,Half-PPR,165.4
Jordan Addison,MIN,WR,PPR,198.11
Travis Hunter,JAC,WR,Standard,129.15
Travis Hunter,JAC,WR,Half-PPR,165.07
Travis Hunter,JAC,WR,PPR,200.99
Brian Robinson Jr.,WAS,RB,Standard,151.69
Brian Robinson Jr.,WAS,RB,Half-PPR,164.82
Brian Robinson Jr.,WAS,RB,PPR,177.96
Rome Odunze,CHI,WR,Standard,128
Rome Odunze,CHI,WR,Half-PPR,163.58
Rome Odunze,CHI,WR,PPR,199.16
RJ Harvey,DEN,RB,Standard,144.94
RJ Harvey,DEN,RB,Half-PPR,163.27
RJ Harvey,DEN,RB,PPR,181.6
Isiah Pacheco,KC,RB,Standard,146.16
Isiah Pacheco,KC,RB,Half-PPR,162.68
Isiah Pacheco,KC,RB,PPR,179.19
Tyrone Tracy Jr.,NYG,RB,Standard,143.62
Tyrone Tracy Jr.,NYG,RB,Half-PPR,162.19
Tyrone Tracy Jr.,NYG,RB,PPR,180.75
Chris Olave,NO,WR,Standard,123.12
Chris Olave,NO,WR,Half-PPR,160.38
Chris Olave,NO,WR,PPR,197.63
Tetairoa McMillan,CAR,WR,Standard,124.65
Tetairoa McMillan,CAR,WR,Half-PPR,159.73
Tetairoa McMillan,CAR,WR,PPR,194.81
Chris Godwin,TB,WR,Standard,121.1
Chris Godwin,TB,WR,Half-PPR,158.64
Chris Godwin,TB,WR,PPR,196.18
Jayden Reed,GB,WR,Standard,129.49
Jayden Reed,GB,WR,Half-PPR,158.55
Jayden Reed,GB,WR,PPR,187.62
Deebo Samuel Sr.,WAS,WR,Standard,127.02
Deebo Samuel Sr.,WAS,WR,Half-PPR,158.13
Deebo Samuel Sr.,WAS,WR,PPR,189.25
Sam LaPorta,DET,TE,Standard,122.23
Sam LaPorta,DET,TE,Half-PPR,157.67
Sam LaPorta,DET,TE,PPR,193.11
Kaleb Johnson,PIT,RB,Standard,141.96
Kaleb Johnson,PIT,RB,Half-PPR,154.49
Kaleb Johnson,PIT,RB,PPR,167.03
Jaylen Warren,PIT,RB,Standard,127.44
Jaylen Warren,PIT,RB,Half-PPR,151.45
Jaylen Warren,PIT,RB,PPR,175.47
Mark Andrews,BAL,TE,Standard,120.81
Mark Andrews,BAL,TE,Half-PPR,150.47
Mark Andrews,BAL,TE,PPR,180.14
Stefon Diggs,NE,WR,Standard,113.41
Stefon Diggs,NE,WR,Half-PPR,150.33
Stefon Diggs,NE,WR,PPR,187.25
Khalil Shakir,BUF,WR,Standard,111.92
Khalil Shakir,BUF,WR,Half-PPR,149.54
Khalil Shakir,BUF,WR,PPR,187.17
Ricky Pearsall,SF,WR,Standard,116.76
Ricky Pearsall,SF,WR,Half-PPR,146.73
Ricky Pearsall,SF,WR,PPR,176.71
Cooper Kupp,SEA,WR,Standard,110.56
Cooper Kupp,SEA,WR,Half-PPR,146.56
Cooper Kupp,SEA,WR,PPR,182.56
Darnell Mooney,ATL,WR,Standard,114.45
Darnell Mooney,ATL,WR,Half-PPR,145.43
Darnell Mooney,ATL,WR,PPR,176.4
Travis Kelce,KC,TE,Standard,104.5
Travis Kelce,KC,TE,Half-PPR,144.87
Travis Kelce,KC,TE,PPR,185.23
Michael Pittman Jr.,IND,WR,Standard,107.51
Michael Pittman Jr.,IND,WR,Half-PPR,144.45
Michael Pittman Jr.,IND,WR,PPR,181.4
Matthew Golden,GB,WR,Standard,115.12
Matthew Golden,GB,WR,Half-PPR,143.27
Matthew Golden,GB,WR,PPR,171.42
T.J. Hockenson,MIN,TE,Standard,104.49
T.J. Hockenson,MIN,TE,Half-PPR,141.52
T.J. Hockenson,MIN,TE,PPR,178.55
Javonte Williams,DAL,RB,Standard,121.45
Javonte Williams,DAL,RB,Half-PPR,141.36
Javonte Williams,DAL,RB,PPR,161.26
Josh Downs,IND,WR,Standard,106.62
Josh Downs,IND,WR,Half-PPR,140.77
Josh Downs,IND,WR,PPR,174.92
Rhamondre Stevenson,NE,RB,Standard,125.47
Rhamondre Stevenson,NE,RB,Half-PPR,140.49
Rhamondre Stevenson,NE,RB,PPR,155.51
David Njoku,CLE,TE,Standard,102.19
David Njoku,CLE,TE,Half-PPR,140.3
David Njoku,CLE,TE,PPR,178.42
Rashid Shaheed,NO,WR,Standard,111.36
Rashid Shaheed,NO,WR,Half-PPR,138.37
Rashid Shaheed,NO,WR,PPR,165.38
Keon Coleman,BUF,WR,Standard,110.3
Keon Coleman,BUF,WR,Half-PPR,135.19
Keon Coleman,BUF,WR,PPR,160.09
Rashod Bateman,BAL,WR,Standard,109.99
Rashod Bateman,BAL,WR,Half-PPR,133.83
Rashod Bateman,BAL,WR,PPR,157.67
Quinshon Judkins,CLE,RB,Standard,122.41
Quinshon Judkins,CLE,RB,Half-PPR,133.44
Quinshon Judkins,CLE,RB,PPR,144.47
Najee Harris,LAC,RB,Standard,120.17
Najee Harris,LAC,RB,Half-PPR,132.3
Najee Harris,LAC,RB,PPR,144.43
Travis Etienne Jr.,JAC,RB,Standard,112.21
Travis Etienne Jr.,JAC,RB,Half-PPR,131.98
Travis Etienne Jr.,JAC,RB,PPR,151.74
Quentin Johnston,LAC,WR,Standard,105.02
Quentin Johnston,LAC,WR,Half-PPR,131.38
Quentin Johnston,LAC,WR,PPR,157.74
J.K. Dobbins,DEN,RB,Standard,116.47
J.K. Dobbins,DEN,RB,Half-PPR,129.97
J.K. Dobbins,DEN,RB,PPR,143.46
Adam Thielen,CAR,WR,Standard,97.13
Adam Thielen,CAR,WR,Half-PPR,128.42
Adam Thielen,CAR,WR,PPR,159.7
Zach Charbonnet,SEA,RB,Standard,108.97
Zach Charbonnet,SEA,RB,Half-PPR,126.88
Zach Charbonnet,SEA,RB,PPR,144.79
Brandon Aiyuk,SF,WR,Standard,100.88
Brandon Aiyuk,SF,WR,Half-PPR,126.56
Brandon Aiyuk,SF,WR,PPR,152.23
Tucker Kraft,GB,TE,Standard,98
Tucker Kraft,GB,TE,Half-PPR,126.18
Tucker Kraft,GB,TE,PPR,154.36
Austin Ekeler,WAS,RB,Standard,103.23
Austin Ekeler,WAS,RB,Half-PPR,125.28
Austin Ekeler,WAS,RB,PPR,147.33
Tyjae Spears,TEN,RB,Standard,103.31
Tyjae Spears,TEN,RB,Half-PPR,122.61
Tyjae Spears,TEN,RB,PPR,141.91
Marvin Mims Jr.,DEN,WR,Standard,99.12
Marvin Mims Jr.,DEN,WR,Half-PPR,122.6
Marvin Mims Jr.,DEN,WR,PPR,146.08
Dallas Goedert,PHI,TE,Standard,92.23
Dallas Goedert,PHI,TE,Half-PPR,122.59
Dallas Goedert,PHI,TE,PPR,152.96
Evan Engram,DEN,TE,Standard,85.52
Evan Engram,DEN,TE,Half-PPR,121.55
Evan Engram,DEN,TE,PPR,157.59
Rachaad White,TB,RB,Standard,101.83
Rachaad White,TB,RB,Half-PPR,121.43
Rachaad White,TB,RB,PPR,141.03
Tyler Warren,IND,TE,Standard,91.52
Tyler Warren,IND,TE,Half-PPR,121.15
Tyler Warren,IND,TE,PPR,150.77
Emeka Egbuka,TB,WR,Standard,93.6
Emeka Egbuka,TB,WR,Half-PPR,119.65
Emeka Egbuka,TB,WR,PPR,145.7
Jake Ferguson,DAL,TE,Standard,83.4
Jake Ferguson,DAL,TE,Half-PPR,117.48
Jake Ferguson,DAL,TE,PPR,151.55
Zach Ertz,WAS,TE,Standard,86.95
Zach Ertz,WAS,TE,Half-PPR,116.48
Zach Ertz,WAS,TE,PPR,146.02
Wan'Dale Robinson,NYG,WR,Standard,79.96
Wan'Dale Robinson,NYG,WR,Half-PPR,115.5
Wan'Dale Robinson,NYG,WR,PPR,151.03
Christian Kirk,HOU,WR,Standard,87.18
Christian Kirk,HOU,WR,Half-PPR,113.88
Christian Kirk,HOU,WR,PPR,140.58
Tre' Harris,LAC,WR,Standard,87.92
Tre' Harris,LAC,WR,Half-PPR,112.65
Tre' Harris,LAC,WR,PPR,137.38
Cam Skattebo,NYG,RB,Standard,100.1
Cam Skattebo,NYG,RB,Half-PPR,112.15
Cam Skattebo,NYG,RB,PPR,124.2
Hunter Henry,NE,TE,Standard,82.62
Hunter Henry,NE,TE,Half-PPR,112.13
Hunter Henry,NE,TE,PPR,141.65
Jonnu Smith,PIT,TE,Standard,83.39
Jonnu Smith,PIT,TE,Half-PPR,111.82
Jonnu Smith,PIT,TE,PPR,140.26
Kyle Pitts,ATL,TE,Standard,86.42
Kyle Pitts,ATL,TE,Half-PPR,111.59
Kyle Pitts,ATL,TE,PPR,136.75
Romeo Doubs,GB,WR,Standard,87.27
Romeo Doubs,GB,WR,Half-PPR,111.54
Romeo Doubs,GB,WR,PPR,135.81
Colston Loveland,CHI,TE,Standard,83.84
Colston Loveland,CHI,TE,Half-PPR,111.45
Colston Loveland,CHI,TE,PPR,139.06
Marquise Brown,KC,WR,Standard,85.26
Marquise Brown,KC,WR,Half-PPR,111.04
Marquise Brown,KC,WR,PPR,136.83
Tank Bigsby,JAC,RB,Standard,105.59
Tank Bigsby,JAC,RB,Half-PPR,110.92
Tank Bigsby,JAC,RB,PPR,116.25
Xavier Legette,CAR,WR,Standard,84.64
Xavier Legette,CAR,WR,Half-PPR,110.81
Xavier Legette,CAR,WR,PPR,136.99
Cedric Tillman,CLE,WR,Standard,84.1
Cedric Tillman,CLE,WR,Half-PPR,110.69
Cedric Tillman,CLE,WR,PPR,137.27
Dalton Kincaid,BUF,TE,Standard,79.27
Dalton Kincaid,BUF,TE,Half-PPR,107.66
Dalton Kincaid,BUF,TE,PPR,136.06
Darren Waller,MIA,TE,Standard,79.69
Darren Waller,MIA,TE,Half-PPR,106.47
Darren Waller,MIA,TE,PPR,133.25
Cade Otton,TB,TE,Standard,79.06
Cade Otton,TB,TE,Half-PPR,106.21
Cade Otton,TB,TE,PPR,133.36
Michael Wilson,ARI,WR,Standard,82.1
Michael Wilson,ARI,WR,Half-PPR,106.07
Michael Wilson,ARI,WR,PPR,130.03
Jordan Mason,MIN,RB,Standard,98.92
Jordan Mason,MIN,RB,Half-PPR,106.01
Jordan Mason,MIN,RB,PPR,113.1
Mike Gesicki,CIN,TE,Standard,75.95
Mike Gesicki,CIN,TE,Half-PPR,105.05
Mike Gesicki,CIN,TE,PPR,134.15
Alec Pierce,IND,WR,Standard,87.29
Alec Pierce,IND,WR,Half-PPR,104.85
Alec Pierce,IND,WR,PPR,122.41
Isaiah Likely,BAL,TE,Standard,83.15
Isaiah Likely,BAL,TE,Half-PPR,104.61
Isaiah Likely,BAL,TE,PPR,126.08
Jayden Higgins,HOU,WR,Standard,81.34
Jayden Higgins,HOU,WR,Half-PPR,104.28
Jayden Higgins,HOU,WR,PPR,127.21
DeMario Douglas,NE,WR,Standard,75.37
DeMario Douglas,NE,WR,Half-PPR,102.97
DeMario Douglas,NE,WR,PPR,130.57
Joe Flacco,CLE,QB,Standard,102.78
Joe Flacco,CLE,QB,Half-PPR,102.78
Joe Flacco,CLE,QB,PPR,102.78
Pat Freiermuth,PIT,TE,Standard,75.1
Pat Freiermuth,PIT,TE,Half-PPR,102.38
Pat Freiermuth,PIT,TE,PPR,129.67
Daniel Jones,IND,QB,Standard,101.08
Daniel Jones,IND,QB,Half-PPR,101.08
Daniel Jones,IND,QB,PPR,101.08
Jerome Ford,CLE,RB,Standard,86.56
Jerome Ford,CLE,RB,Half-PPR,101.06
Jerome Ford,CLE,RB,PPR,115.55
Brenton Strange,JAC,TE,Standard,72.33
Brenton Strange,JAC,TE,Half-PPR,100.63
Brenton Strange,JAC,TE,PPR,128.93
Jalen McMillan,TB,WR,Standard,80.19
Jalen McMillan,TB,WR,Half-PPR,99.97
Jalen McMillan,TB,WR,PPR,119.75
Dalton Schultz,HOU,TE,Standard,72.96
Dalton Schultz,HOU,TE,Half-PPR,99.57
Dalton Schultz,HOU,TE,PPR,126.17
Juwan Johnson,NO,TE,Standard,74.49
Juwan Johnson,NO,TE,Half-PPR,98.77
Juwan Johnson,NO,TE,PPR,123.05
Luther Burden III,CHI,WR,Standard,74.5
Luther Burden III,CHI,WR,Half-PPR,97.02
Luther Burden III,CHI,WR,PPR,119.53
Kenny Pickett,CLE,QB,Standard,96.79
Kenny Pickett,CLE,QB,Half-PPR,96.79
Kenny Pickett,CLE,QB,PPR,96.79
Joshua Palmer,BUF,WR,Standard,74.55
Joshua Palmer,BUF,WR,Half-PPR,95.49
Joshua Palmer,BUF,WR,PPR,116.42
Isaac Guerendo,SF,RB,Standard,86.84
Isaac Guerendo,SF,RB,Half-PPR,95.07
Isaac Guerendo,SF,RB,PPR,103.3
Rico Dowdle,CAR,RB,Standard,83.45
Rico Dowdle,CAR,RB,Half-PPR,94.97
Rico Dowdle,CAR,RB,PPR,106.49
Chig Okonkwo,TEN,TE,Standard,67.78
Chig Okonkwo,TEN,TE,Half-PPR,94.74
Chig Okonkwo,TEN,TE,PPR,121.69
Tyler Higbee,LAR,TE,Standard,70.04
Tyler Higbee,LAR,TE,Half-PPR,94.69
Tyler Higbee,LAR,TE,PPR,119.34
Tyler Allgeier,ATL,RB,Standard,87.83
Tyler Allgeier,ATL,RB,Half-PPR,94.27
Tyler Allgeier,ATL,RB,PPR,100.71
Tyler Lockett,TEN,WR,Standard,71.65
Tyler Lockett,TEN,WR,Half-PPR,93.79
Tyler Lockett,TEN,WR,PPR,115.92
Darius Slayton,NYG,WR,Standard,74
Darius Slayton,NYG,WR,Half-PPR,92.89
Darius Slayton,NYG,WR,PPR,111.79
Calvin Austin III,PIT,WR,Standard,73.88
Calvin Austin III,PIT,WR,Half-PPR,92.86
Calvin Austin III,PIT,WR,PPR,111.85
Spencer Rattler,NO,QB,Standard,92.62
Spencer Rattler,NO,QB,Half-PPR,92.62
Spencer Rattler,NO,QB,PPR,92.62
Jack Bech,LV,WR,Standard,68.98
Jack Bech,LV,WR,Half-PPR,90.69
Jack Bech,LV,WR,PPR,112.41
Kareem Hunt,KC,RB,Standard,80.7
Kareem Hunt,KC,RB,Half-PPR,90.04
Kareem Hunt,KC,RB,PPR,99.39
Nick Westbrook-Ikhine,MIA,WR,Standard,71.49
Nick Westbrook-Ikhine,MIA,WR,Half-PPR,88.67
Nick Westbrook-Ikhine,MIA,WR,PPR,105.85
Ray Davis,BUF,RB,Standard,81.37
Ray Davis,BUF,RB,Half-PPR,88.36
